"created_date","complaint_type","borough","agency_name","status"
"2026-05-03T16:19:28.000","UNSANITARY CONDITION","MANHATTAN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:19:20.000","HEAT/HOT WATER","BROOKLYN","Department of Housing Preservation and Development","Closed"
"2026-05-03T16:19:14.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:18:38.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:18:36.000","Unsanitary Pigeon Condition","MANHATTAN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:18:21.000","Street Condition","QUEENS","Department of Transportation","Open"
"2026-05-03T16:18:17.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:18:16.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:18:15.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:18:00.000","Sewer","BROOKLYN","Department of Environmental Protection","Closed"
"2026-05-03T16:18:00.000","Traffic Signal Condition","BROOKLYN","Department of Transportation","Closed"
"2026-05-03T16:17:58.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:17:28.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:17:22.000","Noise - Residential","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:17:17.000","Noise - Residential","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:17:17.000","Violation of Park Rules","MANHATTAN","Department of Parks and Recreation","Closed"
"2026-05-03T16:17:12.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:17:10.000","Noise - Park","STATEN ISLAND","New York City Police Department","Closed"
"2026-05-03T16:17:07.000","Noise - Vehicle","BRONX","New York City Police Department","Closed"
"2026-05-03T16:16:44.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:16:34.000","Damaged Tree","QUEENS","Department of Parks and Recreation","In Progress"
"2026-05-03T16:16:28.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Closed"
"2026-05-03T16:16:13.000","Maintenance or Facility","BROOKLYN","Department of Parks and Recreation","In Progress"
"2026-05-03T16:15:59.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:15:56.000","Smoking or Vaping","QUEENS","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:15:54.000","Consumer Complaint","BROOKLYN","Department of Consumer and Worker Protection","Closed"
"2026-05-03T16:15:52.000","Street Condition","QUEENS","Department of Transportation","In Progress"
"2026-05-03T16:15:40.000","Street Condition","QUEENS","Department of Transportation","Closed"
"2026-05-03T16:15:39.000","Street Condition","QUEENS","Department of Transportation","Closed"
"2026-05-03T16:15:25.000","Rodent","BROOKLYN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:15:17.000","Illegal Parking","BRONX","New York City Police Department","Closed"
"2026-05-03T16:15:00.000","Noise - Residential","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:15:00.000","Dirty Condition","MANHATTAN","Department of Sanitation","Closed"
"2026-05-03T16:14:34.000","Dirty Condition","BROOKLYN","Department of Sanitation","Closed"
"2026-05-03T16:14:34.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:14:29.000","Maintenance or Facility","BROOKLYN","Department of Parks and Recreation","In Progress"
"2026-05-03T16:14:23.000","Noise - Street/Sidewalk","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:14:18.000","Illegal Tree Damage","BROOKLYN","Department of Parks and Recreation","In Progress"
"2026-05-03T16:14:08.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:13:42.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Open"
"2026-05-03T16:13:31.000","HEAT/HOT WATER","BRONX","Department of Housing Preservation and Development","Open"
"2026-05-03T16:13:24.000","Noise - Residential","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:13:09.000","Tattooing","MANHATTAN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:13:07.000","Graffiti","BROOKLYN","Department of Sanitation","Open"
"2026-05-03T16:13:06.000","New Tree Request","QUEENS","Department of Parks and Recreation","In Progress"
"2026-05-03T16:13:00.000","Noise","BROOKLYN","Department of Environmental Protection","Closed"
"2026-05-03T16:12:56.000","Smoking or Vaping","BROOKLYN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:12:11.000","Graffiti","BROOKLYN","Department of Sanitation","Open"
"2026-05-03T16:12:09.000","Illegal Parking","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:12:07.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:12:02.000","Blocked Driveway","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:12:00.000","Traffic Signal Condition","QUEENS","Department of Transportation","Closed"
"2026-05-03T16:12:00.000","Water System","BROOKLYN","Department of Environmental Protection","Open"
"2026-05-03T16:11:46.000","Vendor Enforcement","QUEENS","Department of Sanitation","Closed"
